D.O. 2 ;18 - TPO2;D.O. 3 ;D.O. 4 ;D.O. 5 ;D.O. 6 ;D.O. 7 ;D.O. 8 ;19 - TPVA;D.O. 9 ;37 - Densidade ÃÂ³tica;D.O. 10 ;32 - Retirada de aluminio;D.O. 11 ;74 - AdesÃÂ£o ao metal, 160ÃÂ°C;66 - Densidade ÃÂ³tica (X-RITE);75 - AdesÃÂ£o ao metal, 100ÃÂ°C;Situação;Dt ProduÃ§Ã£o;Hora Final;Pinholes P;Pinholes M;Pinholes G;ArranhÃÂ£o ;Desvio PadrÃÂ£o D.O. ;Media D.O.;D.O. 1 ;ID;DateTime;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;DepositEndTime;Time;DepositStartTime;TotalTime;WarmupTime;CoatingTime;FilmInSpec;ChillDown;PumpdownTime;VentingTime;CycleStartTime;FilmProcessed;FilmMetallised;MechOpenTime;Length;Boatlife;FirstProbe;LastProbe;Weight;WebThickness;WebWidth;TargetNumber;UpperLimit;LowerLimit;WebSpeed;WireSpeed;UnwSetTension;RewSetTension;Source ID;Selected (2);Bobina ;Campanha;Hora Inicio;Maquina;Origem;Selected;Selected.1;Fingerprint;RollID;Shift;Operator;Customer;BarCode;Selected (1);Selected (3)
;;;;;;;;;;;;;;;;;Aprovado;03/01/2020 00:00;22/05/2020 09:14;;;;;;;;;03/01/2020 07:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/01/2020 07:48;22/05/2020 07:48;03/01/2020 06:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;03/01/2020 00:00;22/05/2020 09:14;;;;;;;;;03/01/2020 10:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/01/2020 10:04;22/05/2020 10:04;03/01/2020 08:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 15:54;;;;;;;;;04/01/2020 15:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 15:07;22/05/2020 15:07;04/01/2020 13:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 22:44;;;;;;;;;04/01/2020 21:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 21:20;22/05/2020 21:20;04/01/2020 19:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 01:21;;;;;;;;;04/01/2020 02:29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 02:21;22/05/2020 02:21;04/01/2020 00:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/01/2020 00:00;22/05/2020 04:24;;;;;;;;;04/01/2020 05:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/01/2020 05:38;22/05/2020 05:38;04/01/2020 03:27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;05/01/2020 00:00;22/05/2020 07:13;;;;;;;;;05/01/2020 06:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 05:54;22/05/2020 05:54;05/01/2020 04:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;05/01/2020 00:00;22/05/2020 10:05;;;;;;;;;05/01/2020 09:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 08:57;22/05/2020 08:57;05/01/2020 07:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 16:30;;;;;;;;;05/01/2020 15:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 15:30;22/05/2020 15:30;05/01/2020 14:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 16:30;;;;;;;;;05/01/2020 17:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 17:41;22/05/2020 17:41;05/01/2020 16:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 19:02;;;;;;;;;05/01/2020 17:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 17:41;22/05/2020 17:41;05/01/2020 16:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/01/2020 00:00;22/05/2020 19:02;;;;;;;;;05/01/2020 20:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/01/2020 20:09;22/05/2020 20:09;05/01/2020 18:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;03/02/2020 00:00;22/05/2020 09:35;;;;;;;;;03/02/2020 09:44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/02/2020 09:32;22/05/2020 09:32;03/02/2020 08:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;03/02/2020 00:00;22/05/2020 12:13;;;;;;;;;03/02/2020 13:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/02/2020 13:05;22/05/2020 13:05;03/02/2020 11:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;03/02/2020 00:00;22/05/2020 15:33;;;;;;;;;03/02/2020 16:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/02/2020 15:55;22/05/2020 15:55;03/02/2020 14:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;03/02/2020 00:00;22/05/2020 20:55;;;;;;;;;03/02/2020 22:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/02/2020 22:00;22/05/2020 22:00;03/02/2020 20:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;03/02/2020 00:00;22/05/2020 02:54;;;;;;;;;03/02/2020 02:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/02/2020 02:48;22/05/2020 02:48;03/02/2020 01:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;03/02/2020 00:00;22/05/2020 05:46;;;;;;;;;03/02/2020 06:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/02/2020 05:59;22/05/2020 05:59;03/02/2020 04:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;04/02/2020 00:00;22/05/2020 21:38;;;;;;;;;04/02/2020 21:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/02/2020 21:09;22/05/2020 21:09;04/02/2020 19:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;04/02/2020 00:00;22/05/2020 00:15;;;;;;;;;04/02/2020 00:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/02/2020 00:14;22/05/2020 00:14;04/01/2020 22:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;04/02/2020 00:00;22/05/2020 02:55;;;;;;;;;04/02/2020 04:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04/02/2020 04:03;22/05/2020 04:03;04/02/2020 02:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;05/02/2020 00:00;22/05/2020 08:29;;;;;;;;;05/02/2020 07:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/02/2020 07:23;22/05/2020 07:23;05/02/2020 06:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;05/02/2020 00:00;22/05/2020 13:12;;;;;;;;;05/02/2020 14:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/02/2020 14:30;22/05/2020 14:30;05/02/2020 12:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/02/2020 00:00;22/05/2020 22:15;;;;;;;;;05/02/2020 22:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/02/2020 22:37;22/05/2020 22:37;05/02/2020 20:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;05/02/2020 00:00;22/05/2020 01:42;;;;;;;;;05/02/2020 02:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/02/2020 02:29;22/05/2020 02:29;05/02/2020 00:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;05/02/2020 00:00;22/05/2020 04:29;;;;;;;;;05/02/2020 05:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/02/2020 04:59;22/05/2020 04:59;05/02/2020 03:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;13/02/2020 00:00;22/05/2020 07:12;;;;;;;;;13/02/2020 07:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 07:11;22/05/2020 07:11;13/02/2020 05:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;13/02/2020 00:00;22/05/2020 10:20;;;;;;;;;13/02/2020 10:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 10:20;22/05/2020 10:20;13/02/2020 08:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;13/02/2020 00:00;22/05/2020 12:55;;;;;;;;;13/02/2020 13:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 12:54;22/05/2020 12:54;13/02/2020 11:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;13/02/2020 00:00;22/05/2020 15:52;;;;;;;;;13/02/2020 16:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 15:52;22/05/2020 15:52;13/02/2020 13:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;13/02/2020 00:00;22/05/2020 19:20;;;;;;;;;13/02/2020 19:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 19:19;22/05/2020 19:19;13/02/2020 17:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;13/02/2020 00:00;22/05/2020 22:04;;;;;;;;;13/02/2020 22:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 22:03;22/05/2020 22:03;13/02/2020 20:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;13/02/2020 00:00;22/05/2020 05:30;;;;;;;;;13/02/2020 04:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 04:15;22/05/2020 04:15;13/02/2020 02:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;13/02/2020 00:00;22/05/2020 05:30;;;;;;;;;13/02/2020 05:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/02/2020 05:00;22/05/2020 05:00;13/02/2020 04:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;14/02/2020 00:00;22/05/2020 19:38;;;;;;;;;14/02/2020 19:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/02/2020 19:37;22/05/2020 19:37;14/02/2020 18:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;15/02/2020 00:00;22/05/2020 07:48;;;;;;;;;15/02/2020 07:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15/02/2020 07:48;22/05/2020 07:48;15/02/2020 05:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;15/02/2020 00:00;22/05/2020 10:50;;;;;;;;;15/02/2020 10:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15/02/2020 10:49;22/05/2020 10:49;15/02/2020 08:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;15/02/2020 00:00;22/05/2020 12:41;;;;;;;;;15/02/2020 12:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15/02/2020 12:46;22/05/2020 12:46;15/02/2020 11:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;15/02/2020 00:00;22/05/2020 17:48;;;;;;;;;15/02/2020 18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15/02/2020 17:50;22/05/2020 17:50;15/02/2020 16:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;16/02/2020 00:00;22/05/2020 10:48;;;;;;;;;16/02/2020 10:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/02/2020 10:48;22/05/2020 10:48;16/02/2020 09:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;16/02/2020 00:00;22/05/2020 15:38;;;;;;;;;16/02/2020 15:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/02/2020 15:40;22/05/2020 15:40;16/02/2020 14:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;16/02/2020 00:00;22/05/2020 18:32;;;;;;;;;16/02/2020 18:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/02/2020 18:32;22/05/2020 18:32;16/02/2020 16:44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;16/02/2020 00:00;22/05/2020 21:10;;;;;;;;;16/02/2020 21:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/02/2020 21:09;22/05/2020 21:09;16/02/2020 19:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 09:08;;;;;;;;;17/02/2020 09:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 09:06;22/05/2020 09:06;17/02/2020 07:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 11:45;;;;;;;;;17/02/2020 11:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 11:45;22/05/2020 11:45;17/02/2020 09:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 14:48;;;;;;;;;17/02/2020 14:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 14:19;22/05/2020 14:19;17/02/2020 12:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 17:43;;;;;;;;;17/02/2020 18:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 17:40;22/05/2020 17:40;17/02/2020 15:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 20:42;;;;;;;;;17/02/2020 20:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 20:43;22/05/2020 20:43;17/02/2020 18:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 02:35;;;;;;;;;17/02/2020 03:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 02:55;22/05/2020 02:55;17/02/2020 01:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;17/02/2020 00:00;22/05/2020 05:38;;;;;;;;;17/02/2020 05:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/02/2020 05:49;22/05/2020 05:49;17/02/2020 04:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 08:58;;;;;;;;;18/02/2020 09:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 08:55;22/05/2020 08:55;18/02/2020 06:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 13:14;;;;;;;;;18/02/2020 13:26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 13:13;22/05/2020 13:13;18/02/2020 11:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 16:05;;;;;;;;;18/02/2020 16:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 16:05;22/05/2020 16:05;18/02/2020 14:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;18/02/2020 00:00;22/05/2020 18:50;;;;;;;;;18/02/2020 19:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 18:50;22/05/2020 18:50;18/02/2020 16:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;18/02/2020 00:00;22/05/2020 21:48;;;;;;;;;18/02/2020 21:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/02/2020 21:49;22/05/2020 21:49;18/02/2020 19:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;19/02/2020 00:00;22/05/2020 07:08;;;;;;;;;19/02/2020 07:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 07:08;22/05/2020 07:08;19/02/2020 06:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;19/02/2020 00:00;22/05/2020 09:43;;;;;;;;;19/02/2020 09:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 09:42;22/05/2020 09:42;19/02/2020 07:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;19/02/2020 00:00;22/05/2020 12:25;;;;;;;;;19/02/2020 12:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 12:24;22/05/2020 12:24;19/02/2020 10:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Aprovado;19/02/2020 00:00;22/05/2020 15:54;;;;;;;;;19/02/2020 16:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 15:54;22/05/2020 15:54;19/02/2020 14:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Reprovado;19/02/2020 00:00;22/05/2020 18:42;;;;;;;;;19/02/2020 18:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/02/2020 18:41;22/05/2020 18:41;19/02/2020 16:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
